"OBJ_CD"	"FND_CD"	"FND_NM"	"CNTR_NM"	"ASST_LBLT"	"TP"	"TRD_DT"	"EFF_DT"	"MAT_DT"	"CURR"	"NOTN"	"MAT_PRD"	"CALL_YN"	"RISK_CALL_YN"	"STRUCT_COND"	"PAY_COND"	"PAY_FREQ"	"PAY_DCF"	"RCV_COND"	"RCV_FREQ"	"RCV_DCF"	"NOTE"	"CALL_DT"	"TRMNTN_DT"	"TYPE1"	"TYPE2"	"TYPE3"	"TYPE4"	"OPTN_FREQ"	"CALL_NOTICE"	"FRST_CALL_DT"	"ADD_OPTN"	"UPFRNT"	"NO"	"CREATED_AT"	"UPDATED_AT"
I210115FE001	"10206049"	FE_BTB_SWAP	제이피모간체이스은행[서울지점]	자산	자산	"20210115"	"20210203"	"20410203"	USD	50000000	20	N	""	STR(20y, 3.80%*n/N Range Accrual, (CD3m-CMT3m) >= 0.00% & (KRW CMT10y-3y) >= 0%, w/o Cap, w/o Floor)	Libor3M+0.75%	"3"	Act/360	"3.80%*n/N"	"12"	"30/360"	""	""	""	Range Accrual	CDKTB	KTB10y3y	""	""	""	"19000100"	""	""	2	2026-02-19 14:02:05	2026-02-19 14:02:05
I210115FE002	"10206049"	FE_BTB_SWAP	교보증권	부채	MTM	"20210115"	"20210203"	"20410203"	USD	50000000	20	N	""	STR(20y, 3.80%*n/N Range Accrual, (CD3m-CMT3m) >= 0.00% & (KRW CMT10y-3y) >= 0%, w/o Cap, w/o Floor)	"3.80%*n/N"	"12"	"30/360"	Libor3M+0.75%	"3"	Act/360	""	""	""	Range Accrual	CDKTB	KTB10y3y	""	""	""	"19000100"	""	""	3	2026-02-19 14:02:05	2026-02-19 14:02:05
I210216FE001	"10206049"	FE_BTB_SWAP	제이피모간체이스은행[서울지점]	자산	자산	"20210216"	"20210223"	"20410223"	USD	50000000	20	N	""	STR(20y, 4.00%*n/N Range Accrual, (CD3m-CMT3m) >= 0.00% & (KRW CMT10y-3y) >= 0%, w/o Cap, w/o Floor)	Libor3M+0.75%	"3"	Act/360	"4.00%*n/N"	"12"	"30/360"	""	""	""	Range Accrual	CDKTB	KTB10y3y	""	""	""	"19000100"	""	""	4	2026-02-19 14:02:05	2026-02-19 14:02:05
I210216FE002	"10206049"	FE_BTB_SWAP	유안타증권	부채	MTM	"20210216"	"20210223"	"20410223"	USD	50000000	20	N	""	STR(20y, 4.00%*n/N Range Accrual, (CD3m-CMT3m) >= 0.00% & (KRW CMT10y-3y) >= 0%, w/o Cap, w/o Floor)	"4.00%*n/N"	"12"	"30/360"	Libor3M+0.75%	"3"	Act/360	""	""	""	Range Accrual	CDKTB	KTB10y3y	""	""	""	"19000100"	""	""	5	2026-02-19 14:02:05	2026-02-19 14:02:05
I210317FE001	"10206049"	FE_BTB_SWAP	Morgan Stanley & Co.Int	자산	자산	"20210317"	"20210326"	"20360326"	KRW	10000000000	15	N	""	STR(15y, 6.50%*n/N Range Accrual, (CMT5Y-CMS3Y) >= 0.00% & (CD3m- CMT3m) >= -0.1%, w/o Cap, w/o Floor)	"2*CD91 + 0.3%"	"3"	Act/365	"6.50%*n/N"	"6"	Act/365	""	""	""	Range Accrual	CDKTB	KTB5y3y	""	""	""	"19000100"	""	""	6	2026-02-19 14:02:05	2026-02-19 14:02:05
I210317FE002	"10206049"	FE_BTB_SWAP	교보증권	부채	MTM	"20210317"	"20210326"	"20360326"	KRW	10000000000	15	N	""	STR(15y, 6.50%*n/N Range Accrual, (CMT5Y-CMS3Y) >= 0.00% & (CD3m- CMT3m) >= -0.1%, w/o Cap, w/o Floor)	"6.5%*n/N"	"6"	Act/365	"2*CD + 0.30%"	"3"	Act/365	""	""	""	Range Accrual	CDKTB	KTB5y3y	""	""	""	"19000100"	""	""	7	2026-02-19 14:02:05	2026-02-19 14:02:05
I210607FE003	"10206020"	FE_RT_ExoticSWAP	Morgan Stanley & Co.Int	자산	자산	"20210604"	"20210607"	"20310607"	KRW	10000000000	10	Y	""	STR(10y, 6.00%, 10*(Avg.3mCD - Avg.3mKTB)+3.25%, Cap 6.00%, w/o Floor)	"0.02"	"12"	Act/365	"1회차 : 6.00%
2회차~10회차 : min(3.25%+10*[Avg(3mCD)-Avg(3mKTB)], 6.00%)"	"12"	"30/360"	""	"20251121"	"20260607"	Spread	Power	""	""	Annual	"17 영업일 전"	"20220607"	""	""	12	2026-02-19 14:02:05	2026-02-19 14:02:05
I210611FE001	"10206020"	FE_RT_ExoticSWAP	Morgan Stanley & Co.Int	자산	자산	"20210610"	"20210614"	"20310614"	KRW	10000000000	10	N	""	STR(10y, 5.95%, 10*(Avg.3mCD - Avg.3mKTB)+3.20%, Cap 5.95%, w/o Floor)	"0.02"	"3"	Act/365	"1회차 : 5.95%
2회차~10회차 : min(3.20%+10*[Avg(CD3m)-Avg(3mKTB)], 5.95%)"	"12"	"30/360"	""	""	""	Spread	Power	""	""	Annual	"17 영업일 전"	"20220614"	""	""	14	2026-02-19 14:02:05	2026-02-19 14:02:05
I210628FE001	"10206020"	FE_RT_ExoticSWAP	Morgan Stanley & Co.Int	자산	자산	"20210625"	"20210701"	"20310701"	KRW	20000000000	10	N	""	STR(10y, 4.35%, 10*(Avg.CMS1y - Avg.CCS1y-0.42826%), Cap 4.35%, w/o Floor)	"0.02"	"12"	Act/365	"1회차 : 4.35%
2회차~10회차 : min(4.35%, 10*[Avg.CMS1y-Avg.CCS1y-0.42826%])"	"12"	"30/360"	""	""	""	Spread	Swap Basis	""	""	Annual	"17 영업일 전"	"20220701"	""	""	16	2026-02-19 14:02:05	2026-02-19 14:02:05
I210803FE001	"10206020"	FE_RT_ExoticSWAP	Morgan Stanley & Co.Int	자산	자산	"20210803"	"20210805"	"20310805"	KRW	20000000000	10	N	""	STR(10y, 5.00%, 10*(Avg.CMS1y - Avg.CCS1y-0.42826%), Cap 5.00%, w/o Floor)	"0.02"	"12"	Act/365	"1회차 : 5.00%
2회차~10회차 : min(5.00%, 10*[Avg.CMS1y-Avg.CCS1y-0.42826%])"	"12"	"30/360"	""	""	""	Spread	Swap Basis	""	""	Annual	"17 영업일 전"	"20220805"	""	""	18	2026-02-19 14:02:05	2026-02-19 14:02:05
